validation_sets,topics,alpha,beta,coherence
100% Corpus,2,0.6100000000000001,0.21000000000000002,0.286082616910399
100% Corpus,2,0.6100000000000001,0.41000000000000003,0.2648913789361218
100% Corpus,2,0.6100000000000001,0.6100000000000001,0.26580979993587195
100% Corpus,2,0.6100000000000001,0.81,0.26580979993587195
100% Corpus,2,0.6100000000000001,symmetric,0.26580979993587195
100% Corpus,2,0.81,0.01,0.40207487772973244
100% Corpus,2,0.81,0.21000000000000002,0.2648913789361218
100% Corpus,2,0.81,0.41000000000000003,0.2648913789361218
100% Corpus,2,0.81,0.6100000000000001,0.26084608606340987
100% Corpus,2,0.81,0.81,0.26580979993587195
100% Corpus,2,0.81,symmetric,0.26084608606340987
100% Corpus,2,symmetric,0.01,0.418263712100549
100% Corpus,2,symmetric,0.21000000000000002,0.286082616910399
100% Corpus,2,symmetric,0.41000000000000003,0.2524844458916425
100% Corpus,2,symmetric,0.6100000000000001,0.26580979993587195
100% Corpus,2,symmetric,0.81,0.26580979993587184
100% Corpus,2,symmetric,symmetric,0.25248444589164243
100% Corpus,2,asymmetric,0.01,0.41924182348294925
100% Corpus,2,asymmetric,0.21000000000000002,0.23898400399313832
100% Corpus,2,asymmetric,0.41000000000000003,0.2637715136081741
100% Corpus,2,asymmetric,0.6100000000000001,0.2658097999358719
100% Corpus,2,asymmetric,0.81,0.2690644715438937
100% Corpus,2,asymmetric,symmetric,0.26580979993587195
100% Corpus,3,0.01,0.01,0.40489546746038174
100% Corpus,3,0.01,0.21000000000000002,0.3008207705203629
100% Corpus,3,0.01,0.41000000000000003,0.27514357979295734
100% Corpus,3,0.01,0.6100000000000001,0.26427095497575326
100% Corpus,3,0.01,0.81,0.2735279792449015
100% Corpus,3,0.01,symmetric,0.2947567535307729
100% Corpus,3,0.21000000000000002,0.01,0.40460684175381406
100% Corpus,3,0.21000000000000002,0.21000000000000002,0.29232960806655467
100% Corpus,3,0.21000000000000002,0.41000000000000003,0.27090666706149763
100% Corpus,3,0.21000000000000002,0.6100000000000001,0.2813120017466711
100% Corpus,3,0.21000000000000002,0.81,0.2837252996495781
100% Corpus,3,0.21000000000000002,symmetric,0.2843387280331312
100% Corpus,3,0.41000000000000003,0.01,0.3831958321930917
100% Corpus,3,0.41000000000000003,0.21000000000000002,0.3025901884565463
100% Corpus,3,0.41000000000000003,0.41000000000000003,0.3272129033072149
100% Corpus,3,0.41000000000000003,0.6100000000000001,0.2694799602428033
100% Corpus,3,0.41000000000000003,0.81,0.26684187338711934
100% Corpus,3,0.41000000000000003,symmetric,0.3241328169369054
100% Corpus,3,0.6100000000000001,0.01,0.3709104745243535
100% Corpus,3,0.6100000000000001,0.21000000000000002,0.3254431482130517
100% Corpus,3,0.6100000000000001,0.41000000000000003,0.31546276020867364
100% Corpus,3,0.6100000000000001,0.6100000000000001,0.3608598774642268
100% Corpus,3,0.6100000000000001,0.81,0.3062422885083956
100% Corpus,3,0.6100000000000001,symmetric,0.3320655460860948
100% Corpus,3,0.81,0.01,0.37096450600503905
100% Corpus,3,0.81,0.21000000000000002,0.3180582530598883
