,name,post at,tweets
86,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/OWIHVHZU0t"
87,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/I9He8RLMgu"
88,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/B1EsWvEO64"
89,mimebittie794,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/pGOsCkaaiW"
90,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/4wOZBfI2CL"
91,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/wnPtp8Mflz"
92,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/V0zUIZNiaK"
93,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/3FbiwThvpN"
94,eko53182607,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/pbfYuUVtln"
95,adiakbar25,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/gutlXD9hcX"
96,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/HghB2S32m2"
97,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/f3GX0nHkpl"
98,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/YYWKvnI0H6"
99,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/srnvGXo53D"
100,Indones30157609,2022-03-03,"Dukung pemindahan ibu kota negara baru
Prokes Jangan Kendor https://t.co/Mh3QL3TjVv"
101,putribudianto,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/RrNTodiv34"
102,JuiceMelon69,2022-03-03,"Prokes Jangan Kendor Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/AO4peH0gAf https://t.co/1ZwWla7Rn6"
103,CacingPerkasa,2022-03-03,"Prokes Jangan Kendor Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/FX7rP8AcDd https://t.co/ouWN3nmcIz"
104,BebekLamis,2022-03-03,"rokes Jangan Kendor Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/uESaUBEZyu https://t.co/U1sHdCmfqB"
105,RNeryo,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/KgXUaPSDg8"
106,Achmads85843424,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/FPZ2TEoyg5"
107,Cantika38589943,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/mrBrofIBE2"
108,alfitra_nanda,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/tFUEIEQ13m"
109,CikaPut_RI,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/pIJUkTJXyZ"
110,SuryaRa56517558,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/tnVFdfiife"
111,FikiLukmana,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/XwTzCBPGdf"
112,syafrilnababan1,2022-03-03,"... Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/YY5PhyKfou"
113,KarinaSyafira69,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/SP20AaRmy6"
114,KayanganTifa,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru.
Prokes Jangan Kendor
https://t.co/0glB7W64md"
115,DianHernawati5,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/DSerXvc7s8"
116,pinkyguuy,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/os4GCvPFct"
117,WellOne11,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/Uon5pOI2y2"
118,SujanaThomas,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/MleY9TiGEg"
119,HugiPamungkas,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/Wu6aRvoWhg"
120,Lisa18119565,2022-03-03,"https://t.co/Adb5fxfi2W
Prokes Jangan Kendor"
121,BagaraSuka,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/0VLYBDJoJl"
122,JaneMerah,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/8e80GwQuV0"
123,arif_rintang,2022-03-03,"Adapun nantinya sistem keamanan Ibu Kota Negara (IKN) baru dengan nama Nusantara akan berbasis internet. 
Sistem keamanan itu bersifat ""smart security"" yang dipadukan dengan perkembangan teknologi mumpuni, Hal ini dilakukan utk meningkatkan pelayanan. 

@Suharso_M @Jiwamudaindo"
124,Monalatu1,2022-03-02,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/Rbq5eZ9COp

Prokes Jangan Kendor"
125,MediaNasional1,2022-03-02,Bupati Nias Dukung Ibu Kota Negara (IKN) Baru https://t.co/L7rLuaVmRk
126,Mahdiar85505384,2022-03-02,"Dalam hal ini Dedi memastikan tiap tiap personel anggota polri bersedia ditugaskan di mana saja oleh pimpinan, dan tidak ada personel Polri yang menolak ditugaskan Ibu Kota Negara (IKN) baru seperti yang disinggung oleh presiden.  https://t.co/tLZnYw31iF"
127,haibundacom,2022-03-02,"Besaran tunjangan Pegawai Negeri Sipil (PNS) yang akan pindah ke Ibu Kota Negara (IKN) baru kabarnya bakal berubah menyesuaikan kebutuhan di sana, Bunda. https://t.co/mS0pRvcGPK"
128,langityang7,2022-03-02,"💢Kenapa Ibu Kota Baru di Kalimantan 💢

Ada 6 alasan kenapa Ibukota Negara Baru pindah ke Kalimantan :

1. Penduduk Indonesia 🇮🇩 yg tinggal di pulau Jawa sudah terlalu padat.
Pada th 2015 sekitar  56,56% atau 150,18 juta jiwa penduduk tinggal dipulau

@Suharso_M @Jiwamudaindo https://t.co/smMGeNwhAr"
129,arif_rintang,2022-03-02,"Perpindahan Ibu Kota Negara ke Kalimantan trdengar sampai negeri tetangga (Malaysia). 
Kalimantan sebagai Ibu kota Indonesia yg baru akan lbh sering didengar, diberitakan&amp;dikaitkan dgn Indonesia sehingga akn lebih populer dimata dunia bahwa Kalimantan adh Indonesia

@Suharso_M https://t.co/cQTjK76bN4"
130,wadulanjim,2022-03-02,"Mari bersama kita dukung pembangunan ibu kota baru, perpindahan ibu kota baru akan mendorong pertumbuhan ekonomi negara dan daerah https://t.co/LKz9V0OY9O"
131,MrWiseMan2020,2022-03-02,"ujar Presiden dalam sambutannya pada Program Beranda Nusantara Menuju Ibu Kota Negara Baru yang disiarkan di Radio Republik Indonesia, sebagaimana ditayangkan YouTube Sekretariat Presiden, pada Rabu, 23 Februari 2022.
@jokowi https://t.co/XpwoD9tQZ5"
132,terkinidotid,2022-03-02,"Banyak ASN Enggan Pindah ke IKN dan Pilih Jadi PNS di Jakarta, Begini Tanggapan Anies Baswedan: Aparatur Sipil Negara (ASN) dikabarkan tidak ingin pindah ke Ibu Kota Negara baru. https://t.co/Wg6mnZCUVF #News #asn #pindahkeikn"
133,pelitabangsa45,2022-03-02,"Kenapa Ibu Kota Negara Baru di Kalimantan ?
Berikut penjelasan dr mantan Menteri PPN, Bambang Brodjonegoro

Jadi ada 3 opsi yg diajukan :

1. Tetap di jakarta tp membangun government district
2. Pindah tdk jauh dr Jakarta
3. Pindah keluar Jawa

@Suharso_M 
@Jiwamudaindo https://t.co/A2KoHwQAIF"
134,ary_moto,2022-03-02,"Undang-Undang ttg Ibu Kota Negara (UU IKN) akan menjadi dasar pembangunan IKN di Kalimantan Timur. Menteri PPN/Kepala Bappenas Suharso Monoarfa mengatakan, pembangunan IKN yang mengusung “Kota Dunia u/ Semua” tsb mjd awal peradaban baru bagi Indonesia.

https://t.co/PQlMcV97bp"
135,MinakMegaow,2022-03-02,"https://t.co/r8CxK3LVjy
Bendungan Sepaku Semoi yang berada di Desa Tengin Baru,untuk mendukung kebutuhan air baku di kawasan Ibu Kota Negara (IKN) Nusantara serta Balikpapan, juga untuk mereduksi datangnya banjir.

Jokowi Gas Pol Infrastruktur https://t.co/x6eL4Sa9zb"
136,ary_moto,2022-03-02,"PUPR membangun Bendungan Sepaku Semoi yang berada di Desa Tengin Baru, Kaltim. Pembangunan bendungan ini, selain untuk mendukung kebutuhan air baku di kawasan Ibu Kota Negara (IKN) Nusantara serta Balikpapan, juga untuk mereduksi datangnya banjir.

https://t.co/U0kZamHhRl"
137,aiiptu,2022-03-02,"🌟 Kenapa Ibu Kota Baru Di Kalimantan

Menteri PPN/Bappenas Bambang Brodjonegoro Periode 27 Juli 2016 s/d 20 Oktober 2019 menjelaskan berdasarkan kajian yang telah dilakukan, pihaknya telah memetakan tiga opsi terkait rencana pemindahan ibu kota negara.

@Suharso_M  @Jiwamudaindo https://t.co/qvt7vcuNf3"
138,BelajarGeologi,2022-03-02,Apakah Lokasi Ibukota baru aman dari bencana geologi?? https://t.co/SlBzwJe82w
139,hoax_bukan,2022-03-02,"Gubernur DKI Jakarta Anies Baswedan menanggapi isu banyaknya PNS enggan dipindah ke ibu kota negara baru dan ingin menjadi PNS DKI Jakarta.

Klo ngak mau ya Pecat aja.Usman kasong ini lontong  https://t.co/GgBX4twmtE"
