validation_sets,topics,alpha,beta,coherence
75% Corpus,3,symmetric,0.6100000000000001,0.280335278507071
75% Corpus,3,symmetric,0.81,0.280335278507071
75% Corpus,3,symmetric,symmetric,0.280335278507071
75% Corpus,3,asymmetric,0.01,0.37550862155678505
75% Corpus,3,asymmetric,0.21000000000000002,0.3951052714543257
75% Corpus,3,asymmetric,0.41000000000000003,0.36544204632898064
75% Corpus,3,asymmetric,0.6100000000000001,0.34878587398328315
75% Corpus,3,asymmetric,0.81,0.3456547263015448
75% Corpus,3,asymmetric,symmetric,0.36881290813958395
75% Corpus,4,0.01,0.01,0.29151528475711036
75% Corpus,4,0.01,0.21000000000000002,0.2802096579663715
75% Corpus,4,0.01,0.41000000000000003,0.26013353063891853
75% Corpus,4,0.01,0.6100000000000001,0.2711618140847568
75% Corpus,4,0.01,0.81,0.26972171349179147
75% Corpus,4,0.01,symmetric,0.2768385456152655
75% Corpus,4,0.21000000000000002,0.01,0.30819724875110666
75% Corpus,4,0.21000000000000002,0.21000000000000002,0.30705926146863616
75% Corpus,4,0.21000000000000002,0.41000000000000003,0.3088479690413593
75% Corpus,4,0.21000000000000002,0.6100000000000001,0.33900722504646796
75% Corpus,4,0.21000000000000002,0.81,0.3359881930746478
75% Corpus,4,0.21000000000000002,symmetric,0.30550108437324663
75% Corpus,4,0.41000000000000003,0.01,0.3403985996325478
75% Corpus,4,0.41000000000000003,0.21000000000000002,0.3197755978806097
75% Corpus,4,0.41000000000000003,0.41000000000000003,0.3101503739552513
75% Corpus,4,0.41000000000000003,0.6100000000000001,0.3167017174730883
75% Corpus,4,0.41000000000000003,0.81,0.3241520008344536
75% Corpus,4,0.41000000000000003,symmetric,0.29505987590786753
75% Corpus,4,0.6100000000000001,0.01,0.3054714758160235
75% Corpus,4,0.6100000000000001,0.21000000000000002,0.2580676042126717
75% Corpus,4,0.6100000000000001,0.41000000000000003,0.2556007587558504
75% Corpus,4,0.6100000000000001,0.6100000000000001,0.2856787768383955
75% Corpus,4,0.6100000000000001,0.81,0.3238055243291047
75% Corpus,4,0.6100000000000001,symmetric,0.25055070278610286
75% Corpus,4,0.81,0.01,0.27982891639414026
75% Corpus,4,0.81,0.21000000000000002,0.25713528115872614
75% Corpus,4,0.81,0.41000000000000003,0.2571300333336032
75% Corpus,4,0.81,0.6100000000000001,0.27734964584741023
75% Corpus,4,0.81,0.81,0.2754768829646543
75% Corpus,4,0.81,symmetric,0.2566794206325763
75% Corpus,4,symmetric,0.01,0.31763675438612515
75% Corpus,4,symmetric,0.21000000000000002,0.30550108437324663
75% Corpus,4,symmetric,0.41000000000000003,0.3164450179342106
75% Corpus,4,symmetric,0.6100000000000001,0.32385093520289565
75% Corpus,4,symmetric,0.81,0.33404894626985404
75% Corpus,4,symmetric,symmetric,0.30550108437324663
75% Corpus,4,asymmetric,0.01,0.3934873365397372
75% Corpus,4,asymmetric,0.21000000000000002,0.4035236998595402
75% Corpus,4,asymmetric,0.41000000000000003,0.39204497658454085
75% Corpus,4,asymmetric,0.6100000000000001,0.3681063168310622
75% Corpus,4,asymmetric,0.81,0.36456092142086066
75% Corpus,4,asymmetric,symmetric,0.4035236998595402
75% Corpus,5,0.01,0.01,0.28216260168356805
75% Corpus,5,0.01,0.21000000000000002,0.26787768886361446
75% Corpus,5,0.01,0.41000000000000003,0.2921820370408816
75% Corpus,5,0.01,0.6100000000000001,0.27048372726270675
75% Corpus,5,0.01,0.81,0.28216260168356805
75% Corpus,5,0.01,symmetric,0.28216260168356805
75% Corpus,5,0.21000000000000002,0.01,0.31102857633213327
75% Corpus,5,0.21000000000000002,0.21000000000000002,0.3153150833377003
75% Corpus,5,0.21000000000000002,0.41000000000000003,0.30890812291003
75% Corpus,5,0.21000000000000002,0.6100000000000001,0.325917641462767
75% Corpus,5,0.21000000000000002,0.81,0.32783831973453553
75% Corpus,5,0.21000000000000002,symmetric,0.31531508333770025
